color,cylinder,finn_code,first_reg,fuel_type,gear,km,model,model_year,power,price,trans
Osmium Grey Metallic 714,2 l,138228681,27.11.2017,Diesel,Manuell,14 797 km,Volvo V40 Cross Country,2017,120 Hk,"319 900,-",Forhjulsdrift
Sølv,2 l,134398322,03.04.2012,Diesel,Automat,84 000 km,Audi Q3,2012,177 Hk,"259 000,-",4x4 Quattro
Electric silver Met. 477,2 l,138228564,26.01.2018,Diesel,Automat,17 022 km,Volvo V90,2018,235 Hk,"669 000,-",Firehjulsdrift
Grå metallic,"2,8 l",138223163,31.10.2014,Diesel,Automat,86 575 km,Jeep Wrangler,2014,200 Hk,"299 000,-","4x4wd, low series 4x4wd, selective 2wd"
Onyx black Metallic 717,2 l,138228534,,Diesel,Automat,7 750 km,Volvo V40,2018,120 Hk,"319 900,-",Forhjulsdrift
Sølv,2 l,138225681,,Bensin,Automat,245 084 km,Toyota RAV4,2006,152 Hk,"70 618,-",Forhjulsdrift
Rød,"1,4 l",138223512,06.01.2019,Bensin,Manuell,122 000 km,Peugeot 206,2003,75 Hk,"9 118,-",Forhjulsdrift
Savile grey Perl-/Met 492,2 l,138228514,,Diesel,Automat,19 579 km,Volvo V90,2018,190 Hk,"629 000,-",Firehjulsdrift
Savile grey Perl-/Met 492,2 l,138228428,28.12.2017,Diesel,Automat,14 565 km,Volvo V90,2018,235 Hk,"679 000,-",Forhjulsdrift
Svart,2 l,138226841,13.09.2007,Diesel,Manuell,142 000 km,Mitsubishi Outlander,2007,140 Hk,"109 000,-",Firehjulsdrift
Svart,3 l,138226489,,Diesel,Automat,101 000 km,BMW X5,2012,211 Hk,"399 800,-",Xdrive
Hvit,2 143 l,137682860,28.08.2013,Diesel,Automat,160 900 km,Mercedes-Benz Vito,2013,136 Hk,"179 000,-",Firehjulsdrift
Gul,1 796 l,137068689,30.11.2004,Bensin,Manuell,189 000 km,Land Rover Freelander,2005,117 Hk,"36 618,-",Firehjulsdrift
Svart,1 679 l,138223770,08.10.1998,Bensin,Manuell,133 500 km,Ford Puma,1998,125 Hk,"7 618,-",Forhjulsdrift
Performance Blue,"1,5 l",138228104,05.07.2018,Bensin,Manuell,3 385 km,Ford Fiesta,2018,200 Hk,"349 900,-",Forhjulsdrift
Onyx black Metallic 717,"2,4 l",135637427,27.02.2018,Diesel,Automat,23 207 km,Volvo V60 Cross Country,2018,190 Hk,"519 900,-",Firehjulsdrift
Svart metallic,,138226647,10.12.2013,Diesel,Manuell,88 000 km,Skoda Octavia,2014,,"178 775,-",4x4 Alldrive
Blå,2 l,138228047,10.05.2007,Bensin,Automat,114 429 km,Audi A4,2007,131 Hk,"89 500,-",Forhjulsdrift
Grå met,3 l,138228070,25.11.2016,Diesel,Automat,54 100 km,BMW 5-serie,2016,258 Hk,"625 000,-",Firehjulsdrift
Saville grey met,2 l,138227965,,Diesel,Manuell,40 506 km,Volvo V70,2016,181 Hk,"359 000,-",Forhjulsdrift
Electrick silver metallic,2 l,138227816,26.09.2017,Diesel,Automat,34 201 km,Volvo XC 90,2018,235 Hk,"869 000,-",Firehjulsdrift
Hvit,2 198 l,138224382,02.05.2013,Diesel,Manuell,130 000 km,Peugeot Boxer,2013,131 Hk,"47 294,-",Forhjulsdrift
Capparishvit,,138227707,04.04.2018,Elektrisitet,Automat,5 000 km,BMW i3,2018,170 Hk,"295 000,-",Bakhjulsdrift
Twilight Bronze Met 700,2 l,138227693,26.09.2017,Diesel,Automat,33 950 km,Volvo XC 90,2018,235 Hk,"869 000,-",Firehjulsdrift
Onyx black met.,2 l,138227562,,Elektrisitet+bensin,Automat,27 669 km,Volvo V90,2018,407 Hk,"699 000,-",Firehjulsdrift
Oransje,1 998 l,138223854,13.06.2012,Bensin,Automat,86 000 km,Toyota GT86,2012,200 Hk,"253 775,-",Bakhjulsdrift
Galactic Gray metallic,"1,4 l",138227583,11.02.2016,Bensin,Automat,30 000 km,Suzuki Vitara,2016,140 Hk,"319 000,-",Firehjulsdrift
Hvit,"1,5 l",138214600,28.04.2013,Diesel,Manuell,58 000 km,Renault Kangoo,2013,90 Hk,"67 294,-",Forhjulsdrift
Hvit,0 l,138227535,03.01.2019,Elektrisitet,Automat,50 km,Hyundai Kona,2019,204 Hk,"409 900,-",Forhjulsdrift
Svart,"1,6 l",138227556,31.03.2015,Bensin,Automat,84 000 km,Mercedes-Benz A-Klasse,2015,122 Hk,"199 775,-",Forhjulsdrift
Rød,0 l,138225341,30/11/2011,Elektrisitet,Automat,110 000 km,Peugeot iOn,2011,48 Hk,"49 999,-",Forhjulsdrift
Svart,"1,6 l",115677334,18.12.2014,Bensin,Automat,82 000 km,BMW 3-serie,2014,136 Hk,"238 719,-",Bakhjulsdrift
Grå,2 l,138227440,29.12.2009,Diesel,Manuell,191 000 km,Ford Mondeo,2010,116 Hk,"59 000,-",Forhjulsdrift
Onyx black Metallic 717,2 l,138227414,28.02.2018,Diesel,Automat,18 692 km,Volvo V60,2018,190 Hk,"395 000,-",Forhjulsdrift
Svart metallic,,138222262,,Elektrisitet,Automat,0 km,Kia Niro,2019,204 Hk,"470 000,-",Forhjulsdrift
Oransje,1 998 l,138223854,13.06.2012,Bensin,Automat,86 000 km,Toyota GT86,2012,200 Hk,"253 775,-",Bakhjulsdrift
Galactic Gray metallic,"1,4 l",138227583,11.02.2016,Bensin,Automat,30 000 km,Suzuki Vitara,2016,140 Hk,"319 000,-",Firehjulsdrift
Hvit,"1,5 l",138214600,28.04.2013,Diesel,Manuell,58 000 km,Renault Kangoo,2013,90 Hk,"67 294,-",Forhjulsdrift
Hvit,0 l,138227535,03.01.2019,Elektrisitet,Automat,50 km,Hyundai Kona,2019,204 Hk,"409 900,-",Forhjulsdrift
Svart,"1,6 l",138227556,31.03.2015,Bensin,Automat,84 000 km,Mercedes-Benz A-Klasse,2015,122 Hk,"199 775,-",Forhjulsdrift
Rød,0 l,138225341,30/11/2011,Elektrisitet,Automat,110 000 km,Peugeot iOn,2011,48 Hk,"49 999,-",Forhjulsdrift
Svart,"1,6 l",115677334,18.12.2014,Bensin,Automat,82 000 km,BMW 3-serie,2014,136 Hk,"238 719,-",Bakhjulsdrift
Grå,2 l,138227440,29.12.2009,Diesel,Manuell,191 000 km,Ford Mondeo,2010,116 Hk,"59 000,-",Forhjulsdrift
Onyx black Metallic 717,2 l,138227414,28.02.2018,Diesel,Automat,18 692 km,Volvo V60,2018,190 Hk,"395 000,-",Forhjulsdrift
Svart metallic,,138222262,,Elektrisitet,Automat,0 km,Kia Niro,2019,204 Hk,"470 000,-",Forhjulsdrift
Svart,1 l,138227312,05.05.2014,Bensin,Manuell,122 000 km,Volkswagen UP!,2014,60 Hk,"54 999,-",Forhjulsdrift
Bursting blue met.,2 l,138227310,28.08.2017,Elektrisitet+bensin,Automat,19 950 km,Volvo XC 60,2018,407 Hk,"749 000,-",Firehjulsdrift
Crystal Black Pearl,2 l,138227380,23.05.2011,Bensin,Automat,63 000 km,Honda CR-V,2011,150 Hk,"219 000,-",Firehjulsdrift
Hvit,,138227382,,Elektrisitet,Automat,33 600 km,Fiat 500,2015,114 Hk,"159 000,-",Forhjulsdrift
Grå,"1,6 l",138223032,13.01.2011,Diesel,Manuell,127 698 km,Volvo C30,2011,109 Hk,"69 978,-",Forhjulsdrift
Sølv,"1,8 l",138227295,04.05.2011,Bensin,Automat,135 649 km,Toyota Auris,2011,136 Hk,"99 000,-",Forhjulsdrift
Metalic,"0,7 l",138226282,,Bensin,Automat,61 011 km,Smart Fortwo cabrio,2003,61 Hk,"30 618,-",Bakhjulsdrift
Blå,"1,2 l",138227279,18.04.2013,Bensin,Manuell,96 698 km,Opel ADAM,2013,69 Hk,"74 900,-",Forhjulsdrift
Krystal hvit Metallic 707,2 l,138227281,,Diesel,Automat,52 km,Volvo V90 Cross Country,2017,190 Hk,"669 000,-",Firehjulsdrift
Bright Silver Met 711,2 l,138227201,,Diesel,Automat,34 761 km,Volvo V90 Cross Country,2018,190 Hk,"689 900,-",Firehjulsdrift
Blå,,138227204,06.09.2011,Elektrisitet,Automat,52 100 km,Mitsubishi i-Miev,2012,64 Hk,"84 900,-",Bakhjulsdrift
Grå metallic,2 l,138223479,09.09.2009,Diesel,Manuell,113 460 km,Mercedes-Benz A-Klasse,2008,109 Hk,"48 775,-",Bakhjulsdrift
Blå,"2,2 l",138224490,03.03.2008,Diesel,Manuell,174 000 km,Toyota Corolla Verso,2008,136 Hk,"69 900,-",Forhjulsdrift
Polished Metallic,"1,5 l",138227093,31.07.2017,Bensin,Automat,30 000 km,Honda HR-V,2017,131 Hk,"289 000,-",Forhjulsdrift
Blå,"1,2 l",138226119,30.11.1995,Bensin,Manuell,236 000 km,Subaru Domingo,1996,54 Hk,"25 618,-",Firehjulsdrift
Svart,,138227111,09.05.2014,Elektrisitet,Automat,25 900 km,Citroen C-Zero,2014,67 Hk,"104 900,-",Bakhjulsdrift
Mineralgrå metallic,,138227120,20.09.2018,Elektrisitet,Automat,3 000 km,BMW i3,2018,170 Hk,"339 000,-",Bakhjulsdrift
Svart,"1,8 l",114943412,18.12.2007,Bensin,Manuell,210 677 km,Mazda 6,2007,120 Hk,"33 719,-",Forhjulsdrift
Onyx black Metallic 717,2 l,138227010,17.11.2017,Diesel,Automat,22 416 km,Volvo XC 60,2018,190 Hk,"729 000,-",Firehjulsdrift
BLUE SILK METALLIC,"1,2 l",138227089,20.07.2016,Bensin,Automat,16 500 km,Volkswagen Polo,2016,110 Hk,"195 000,-",Forhjulsdrift
Hvit,"2,1 l",122214316,10.02.2017,Diesel,Automat,91 000 km,Mercedes-Benz Sprinter,2017,163 Hk,"499 019,-",Bakhjulsdrift
Safirsort metallic,6 l,138215149,,Diesel,Automat,10 km,BMW X5,2019,265 Hk,"1 199 000,-",X DRIVE
Seashell Metallic 484,"2,4 l",138226928,29.03.2016,Diesel,Automat,62 275 km,Volvo XC 60,2016,163 Hk,"499 900,-",Firehjulsdrift
Sølv,"2,5 l",132589817,13.08.2002,Bensin,Automat,147 000 km,Jaguar S-TYPE,2003,200 Hk,"71 594,-",Bakhjulsdrift
BLACK MAGIC PERLE,2 l,138226923,10.12.2015,Diesel,Automat,93 201 km,Skoda Superb,2016,150 Hk,"299 900,-",Forhjulsdrift
Obsidian sort metallic,0 l,138226803,19.04.2018,Elektrisitet,Automat,27 000 km,Tesla Model S,2018,524 Hk,"639 000,-",Firehjulsdrift
Hvit,,138226818,26.05.2014,Elektrisitet,Automat,51 500 km,Citroen C-Zero,2014,67 Hk,"96 900,-",Bakhjulsdrift
Melbourne Rød,,138226793,14.02.2018,Elektrisitet,Automat,30 500 km,BMW i3,2018,184 Hk,"325 000,-",Bakhjulsdrift
Svart,"1,9 l",138222708,11.02.2008,Diesel,Manuell,153 000 km,Opel Vectra,2008,101 Hk,"55 719,-",Forhjulsdrift
Sort/Rød,,138226790,10.09.2015,Elektrisitet,Automat,103 200 km,Kia Soul,2016,111 Hk,"144 900,-",Forhjulsdrift
Sølv,2 461 l,138222994,18.06.2002,Diesel,Manuell,230 000 km,Volkswagen Caravelle,2003,88 Hk,"50 618,-",Forhjulsdrift
Pegasos Silver metallic,2 l,138226768,28.11.2014,Diesel,Manuell,76 907 km,Kia Sportage,2014,136 Hk,"219 500,-",Firehjulsdrift
Electric silver Met. 477,"1,6 l",138226763,24.09.2015,Diesel,Manuell,62 872 km,Volvo V70,2015,114 Hk,"269 000,-",Forhjulsdrift
Obsidian black,0 l,138226764,27.06.2017,Elektrisitet,Automat,38 500 km,Tesla Model X,2017,524 Hk,"879 900,-",Firehjulsdrift
svart met,"2,4 l",138226741,11.04.2012,Diesel,Automat,146 553 km,Volvo XC 70,2012,163 Hk,"289 000,-",Firehjulsdrift
Rød/lilla,"1,8 l",138222692,05.01.2016,Bensin,Manuell,78 000 km,Volkswagen Golf,1991,90 Hk,"39 618,-",Forhjulsdrift
Grå,2 982 l,138222711,11.01.2012,Diesel,Automat,115 699 km,Toyota Land Cruiser,2012,190 Hk,"351 294,-",Firehjulsdrift
Alpinweiss,2 l,138226624,29.06.2015,Diesel,Automat,42 005 km,BMW 3-serie,2015,184 Hk,"329 000,-",Firehjulsdrift
Caspian blå met.,"1,6 l",138226635,28.08.2014,Diesel,Automat,71 070 km,Volvo V40 Cross Country,2015,114 Hk,"239 000,-",Forhjulsdrift
Brillantsort,3 l,138226652,21.07.2011,Diesel,Automat,108 500 km,Audi A7,2011,245 Hk,"349 000,-",Firehjulsdrift
Electric silver Met. 477,"1,6 l",138226763,24.09.2015,Diesel,Manuell,62 872 km,Volvo V70,2015,114 Hk,"269 000,-",Forhjulsdrift
Obsidian black,0 l,138226764,27.06.2017,Elektrisitet,Automat,38 500 km,Tesla Model X,2017,524 Hk,"879 900,-",Firehjulsdrift
svart met,"2,4 l",138226741,11.04.2012,Diesel,Automat,146 553 km,Volvo XC 70,2012,163 Hk,"289 000,-",Firehjulsdrift
Rød/lilla,"1,8 l",138222692,05.01.2016,Bensin,Manuell,78 000 km,Volkswagen Golf,1991,90 Hk,"39 618,-",Forhjulsdrift
Grå,2 982 l,138222711,11.01.2012,Diesel,Automat,115 699 km,Toyota Land Cruiser,2012,190 Hk,"351 294,-",Firehjulsdrift
Alpinweiss,2 l,138226624,29.06.2015,Diesel,Automat,42 005 km,BMW 3-serie,2015,184 Hk,"329 000,-",Firehjulsdrift
Caspian blå met.,"1,6 l",138226635,28.08.2014,Diesel,Automat,71 070 km,Volvo V40 Cross Country,2015,114 Hk,"239 000,-",Forhjulsdrift
Brillantsort,3 l,138226652,21.07.2011,Diesel,Automat,108 500 km,Audi A7,2011,245 Hk,"349 000,-",Firehjulsdrift
Grønn,2 l,81868744,20.04.2012,Bensin,Manuell,93 388 km,"2,0 1977, 93 388 km, kr 24 900,-",1977,,"24 900,-",Bakhjulsdrift
Hvit,"2,5 l",138226579,14.11.2006,Diesel,Manuell,196 000 km,Toyota HiAce,2007,117 Hk,"95 079,-",Firehjulsdrift
MOON WHITE MET,"1,8 l",138226612,31.03.2016,Bensin,Automat,75 000 km,Skoda Octavia,2016,179 Hk,"329 900,-",Firehjulsdrift
Grå,1 991 l,138221895,15.02.2018,Elektrisitet+bensin,Automat,60 000 km,Mercedes-Benz C-Klasse,2016,279 Hk,"316 253,-",Bakhjulsdrift
Grå,1 360 l,137889365,25.03.2010,Bensin,Manuell,63 300 km,Peugeot 207,2007,88 Hk,"34 594,-",Forhjulsdrift
Svart,1 l,138205785,01.11.2007,Bensin,Manuell,111 260 km,Peugeot 107,2008,68 Hk,"34 618,-",Forhjulsdrift
DEEP BLACK PERLMET.,"1,2 l",138226443,26.05.2017,Bensin,Automat,32 503 km,Volkswagen Polo,2017,90 Hk,"195 000,-",Forhjulsdrift
QUARTZ GREY MET,"1,8 l",138226433,09.12.2015,Bensin,Automat,22 997 km,Skoda Octavia,2016,179 Hk,"349 900,-",Firehjulsdrift
Iridium silver metallic,3 l,138226416,29.11.2017,Bensin,Automat,25 700 km,Mercedes-Benz E-Klasse,2018,401 Hk,"1 090 000,-",Firehjulsdrift
Savillegrå metallic,"2,4 l",138226438,07.09.2015,Elektrisitet+diesel,Automat,26 531 km,Volvo V60,2016,233 Hk,"369 000,-",Firehjulsdrift
QUARTZ GREY MET,"1,2 l",138226385,21.12.2015,Bensin,Automat,50 480 km,Skoda Fabia,2016,110 Hk,"169 900,-",Forhjulsdrift
Pine Grey met.,2 l,138226335,10.10.2018,Diesel,Automat,3 400 km,Volvo V90,2018,150 Hk,"599 900,-",Firehjulsdrift
Ember Black metallic,2 l,138226363,24.09.2013,Diesel,Automat,149 797 km,Volvo V60,2014,136 Hk,"199 000,-",Forhjulsdrift
Grønn,1 332 l,131821723,12.08.1999,Bensin,Automat,175 000 km,Toyota Corolla,1999,86 Hk,"15 000,-",Forhjulsdrift
Hvit,"1,4 l",138226287,28.05.2015,Bensin,Automat,75 200 km,Volkswagen Golf Sportsvan,2015,150 Hk,"199 000,-",Forhjulsdrift
Svart,"2,4 l",105579828,,Diesel,Manuell,226 110 km,Volvo S60,2004,163 Hk,"43 360,-",Forhjulsdrift
Sølv,2 l,138226326,08.06.2006,Diesel,Manuell,180 000 km,Toyota Avensis,2006,116 Hk,"49 618,-",Forhjulsdrift
Grå Metallic,0 l,138226302,21.12.2018,Elektrisitet,Automat,42 km,Hyundai Kona,2019,204 Hk,"419 900,-",Forhjulsdrift
MOON WHITE MET,2 l,138226331,06.04.2018,Diesel,Automat,22 713 km,Skoda Kodiaq,2018,190 Hk,"589 900,-",Firehjulsdrift
Krystal hvit met.,2 l,138226172,07.06.2018,Diesel,Automat,21 000 km,Volvo V90 Cross Country,2019,240 Hk,"869 900,-",Firehjulsdrift
Rød,"1,6 l",138076443,29.03.2011,Diesel,Manuell,122 870 km,Ford Fiesta,2011,95 Hk,"75 196,-",Forhjulsdrift
Brun,1 l,138225060,,Bensin,Manuell,61 000 km,Ford C-Max,2013,125 Hk,"89 900,-",Forhjulsdrift
Sort,1 968 l,122377909,29.08.2007,Diesel,Manuell,177 000 km,Volkswagen Passat,2007,140 Hk,"73 719,-",4MOTION
Santorinisort metallic,,138226075,,Elektrisitet+bensin,Automat,100 km,Land Rover Range Rover,2019,404 Hk,"1 699 000,-",Firehjulsdrift
GråGrønn,,138219248,,Bensin,Manuell,1 km,Toyota Avensis,2005,129 Hk,"26 600,-",Forhjulsdrift
Blå,"1,9 l",115223003,06.02.2007,Diesel,Manuell,117 949 km,Volkswagen Jetta,2007,105 Hk,"61 618,-",Forhjulsdrift
Svart,"1,3 l",136331080,19.05.1999,Bensin,Manuell,178 000 km,Toyota Corolla,1999,86 Hk,"11 594,-",Forhjulsdrift
Onyx black met.,2 l,138225964,10.10.2018,Diesel,Automat,8 500 km,Volvo S90,2018,190 Hk,"639 900,-",Forhjulsdrift
Metallic,2 l,138225927,27.12.2018,Diesel,Automat,1 200 km,Ford S-MAX,2019,190 Hk,"669 900,-",Firehjulsdrift
Svart/Rød,,138225948,10.09.2015,Elektrisitet,Automat,93 050 km,Kia Soul,2016,111 Hk,"157 900,-",Forhjulsdrift
Grå met.,2 l,138225821,,Diesel,Automat,15 996 km,Volvo V90,2018,190 Hk,"629 900,-",Firehjulsdrift
Svart,2 l,135186056,16.11.2006,Bensin,Manuell,178 000 km,Mitsubishi Outlander,2006,136 Hk,"36 594,-",Firehjulsdrift
Sort helskinn,1 598 l,134295098,01.05.2007,Bensin,Manuell,136 000 km,MINI Cooper,2007,120 Hk,"52 656,-",Forhjulsdrift
Hvit,2 l,138225901,25.08.2016,Diesel,Manuell,82 408 km,Citroen Jumpy,2016,122 Hk,"199 000,-",Forhjulsdrift
Beige,1 l,138225799,27.10.2015,Bensin,Manuell,66 031 km,Toyota Yaris,2015,69 Hk,"129 000,-",Forhjulsdrift
Brun,2 l,138225818,28.12.2017,Bensin,Automat,14 900 km,Mazda CX-3,2017,150 Hk,"329 000,-",Firehjulsdrift
BLACK SAPPHIRE METALLIC,,138225734,27.06.2018,Diesel,Automat,4 450 km,BMW 5-serie,2018,400 Hk,"1 299 900,-",Firehjulsdrift
Sølv,"2,5 l",138225714,03.10.2007,Diesel,Automat,215 800 km,Nissan Pathfinder,2008,171 Hk,"140 000,-",Firehjulsdrift
Sølv,1 968 l,138224283,12.05.2016,Diesel,Manuell,32 979 km,Volkswagen Caddy,2016,122 Hk,"214 995,-",4Motion
Hvit,"2,2 l",138225722,04.11.2015,Diesel,Manuell,94 829 km,Mazda CX-5,2016,150 Hk,"269 900,-",Firehjulsdrift
OOLONGGRÅ,3 l,138225704,24.11.2016,Diesel,Automat,101 000 km,Audi A6 allroad,2017,190 Hk,"469 000,-",Firehjulsdrift
Hvit,"1,6 l",138225680,30.10.2012,Diesel,Manuell,129 000 km,Citroen Jumpy,2013,125 Hk,"79 294,-",Forhjulsdrift
Sort helskinn,1 598 l,134295098,01.05.2007,Bensin,Manuell,136 000 km,MINI Cooper,2007,120 Hk,"52 656,-",Forhjulsdrift
Hvit,2 l,138225901,25.08.2016,Diesel,Manuell,82 408 km,Citroen Jumpy,2016,122 Hk,"199 000,-",Forhjulsdrift
Beige,1 l,138225799,27.10.2015,Bensin,Manuell,66 031 km,Toyota Yaris,2015,69 Hk,"129 000,-",Forhjulsdrift
Brun,2 l,138225818,28.12.2017,Bensin,Automat,14 900 km,Mazda CX-3,2017,150 Hk,"329 000,-",Firehjulsdrift
BLACK SAPPHIRE METALLIC,,138225734,27.06.2018,Diesel,Automat,4 450 km,BMW 5-serie,2018,400 Hk,"1 299 900,-",Firehjulsdrift
Sølv,"2,5 l",138225714,03.10.2007,Diesel,Automat,215 800 km,Nissan Pathfinder,2008,171 Hk,"140 000,-",Firehjulsdrift
Sølv,1 968 l,138224283,12.05.2016,Diesel,Manuell,32 979 km,Volkswagen Caddy,2016,122 Hk,"214 995,-",4Motion
Hvit,"2,2 l",138225722,04.11.2015,Diesel,Manuell,94 829 km,Mazda CX-5,2016,150 Hk,"269 900,-",Firehjulsdrift
OOLONGGRÅ,3 l,138225704,24.11.2016,Diesel,Automat,101 000 km,Audi A6 allroad,2017,190 Hk,"469 000,-",Firehjulsdrift
Hvit,"1,6 l",138225680,30.10.2012,Diesel,Manuell,129 000 km,Citroen Jumpy,2013,125 Hk,"79 294,-",Forhjulsdrift
Grå,"1,2 l",138224474,27.02.2006,Bensin,Manuell,114 000 km,Skoda Fabia,2006,64 Hk,"24 618,-",Forhjulsdrift
Hvit,0 l,138225602,18.06.2015,Elektrisitet,Automat,59 000 km,Volkswagen Golf,2015,116 Hk,"199 000,-",Forhjulsdrift
Passion red.,2 l,138225534,19.12.2017,Elektrisitet+bensin,Automat,12 850 km,Volvo V90,2018,407 Hk,"679 900,-",Firehjulsdrift
Blue Reflex,"1,5 l",138225544,,Bensin,Manuell,7 000 km,Mazda MX-5,2018,131 Hk,"345 000,-",Bakhjulsdrift
Svart,"1,6 l",136054743,31.07.2002,Bensin,Manuell,207 259 km,Volkswagen Golf,2003,105 Hk,"16 000,-",Forhjulsdrift
METALIC,"1,4 l",138225373,28.05.2014,Bensin,Automat,54 000 km,Skoda Octavia,2014,140 Hk,"199 900,-",Forhjulsdrift
REFLEXSILVER MET,,138224496,30.04.2018,Bensin,Automat,20 000 km,Volkswagen Touran,2018,150 Hk,"439 000,-",Forhjulsdrift
British Racing Green (B22) Metallic,"1,5 l",138225365,19.12.2018,Elektrisitet+bensin,Automat,6 km,MINI Countryman,2019,224 Hk,"435 000,-",Firehjulsdrift
Svart,2 l,138225248,16.12.2015,Diesel,Manuell,47 000 km,Volkswagen Caddy,2016,75 Hk,"147 500,-",Forhjulsdrift
Blå,2 l,138220192,08.10.2002,Diesel,Manuell,245 000 km,Fiat Scudo,2002,94 Hk,"9 079,-",Forhjulsdrift
Hvit,2 l,138225233,,Diesel,Automat,57 000 km,Volkswagen Touran,2013,140 Hk,"249 900,-",Forhjulsdrift
Grå,,138219826,11.04.2016,Elektrisitet,Automat,21 427 km,Nissan Leaf,2016,109 Hk,"185 000,-",Forhjulsdrift
ORCASORT,3 l,138225349,27.06.2018,Elektrisitet+diesel,Automat,10 200 km,Audi Q7,2018,258 Hk,"899 000,-",Firehjulsdrift
Pepper White,"1,5 l",138225230,16.12.2016,Bensin,Automat,39 449 km,MINI Clubman,2016,136 Hk,"269 000,-",Forhjulsdrift
REFLEXSØLV MET.,2 l,138225089,16.10.2015,Diesel,Automat,85 000 km,Volkswagen Transporter,2016,150 Hk,"299 000,-",Firehjulsdrift
Hvit,,138225172,29.05.2012,Diesel,Manuell,74 000 km,Citroen Jumpy,2012,90 Hk,"84 900,-",Forhjulsdrift
DAYTONAGRÅ,"1,2 l",138225191,30.10.2015,Bensin,Manuell,34 977 km,Audi A3,2016,110 Hk,"234 800,-",Forhjulsdrift
Hvit,"1,6 l",138225081,11.05.2011,Diesel,Automat,79 000 km,Peugeot 508,2011,112 Hk,"118 900,-",Forhjulsdrift
MYTHOSSORT,"1,6 l",138225030,24.05.2017,Diesel,Manuell,47 040 km,Audi A3,2017,110 Hk,"229 800,-",Forhjulsdrift
Safirsort metallic,"1,5 l",138225027,21.02.2018,Elektrisitet+bensin,Automat,31 400 km,BMW 2-serie,2018,224 Hk,"349 000,-",Firehjulsdrift
MANHATTANGRÅ,2 l,138224962,19.11.2015,Diesel,Automat,43 332 km,Audi A4,2016,190 Hk,"439 800,-",Firehjulsdrift
Cosmic Black Pearl metallic,"1,4 l",138224967,13.11.2018,Bensin,Automat,5 000 km,Suzuki Vitara,2018,140 Hk,"432 900,-",Firehjulsdrift
Svart,"2,1 l",138220179,25.03.2002,Diesel,Automat,258 000 km,Mercedes-Benz E-Klasse,2000,143 Hk,"39 618,-",Bakhjulsdrift
Grå Metallic,2 l,138224985,27.05.2013,Diesel,Automat,154 500 km,Ford Kuga,2013,140 Hk,"199 000,-",Firehjulsdrift
Sølv,2 494 l,138221694,05.07.2005,Diesel,Manuell,214 000 km,Toyota HiAce,2005,102 Hk,"35 079,-",Firehjulsdrift
Hvit,"1,6 l",138224935,11.05.2011,Diesel,Automat,79 000 km,Peugeot 508,2011,112 Hk,"118 900,-",Forhjulsdrift
Jet Black,"2,9 l",138224918,05.07.2017,Elektrisitet+bensin,Automat,23 000 km,Porsche Panamera,2018,462 Hk,"1 499 000,-",Firehjulsdrift
Sølv,"2,1 l",136079576,13.10.2010,Diesel,Automat,242 000 km,Mercedes-Benz C-Klasse,2008,170 Hk,"108 719,-",Bakhjulsdrift
